Ad Name,Target URL,Creative ID,Custom CTA Text,Custom CTA URL,Banner CTA Creative ID,Banner CTA Title,Banner CTA Subtitle,Banner CTA URL,Tracking Pixel
EN_OURDREAM_GENERAL_30sec_ID-FC41F896,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032490631,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
EN_OURDREAM_HENTAI_GENERAL_30sec_ID-FC41F896,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032490451,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
CUMSHOT_CANNONS_30Sec_ID-400AC07A,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032490341,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_TRANSINTENSE,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467951,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_BLOWJOB2,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467931,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
DREAMLAND_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032462511,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
TALKINGAD_TRANS,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032176422,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_TRANS,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032176342,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=NL_EN_NATIVE_CPM_ALL_Trans_D-ALL_MF_JB_T-10&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
