Ad Name,Target URL,Creative ID,Custom CTA Text,Custom CTA URL,Banner CTA Creative ID,Banner CTA Title,Banner CTA Subtitle,Banner CTA URL,Tracking Pixel
AIPORNISHERE_MISSIONARY_converted,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467881,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_INDIAN,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166452,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
New Porn Vid,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1031965702,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_GOTH,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166482,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
EN_Latina_F_Real_NSFW_3Pannels_Pedro_24sec_ID-5BA1B0A8,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032633761,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
EN_Latina_F_Real_NSFW_3Pannels_Pedro_24sec_ID-3263FBFC,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032658081,Create Your Slutty Latina,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
