group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
Blonde,big boobs,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,titty fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big naturals,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,huge tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big fake boobs,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,titjob,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,gros seins,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,tit fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,tits fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,cum on tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,voluptuous,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,bed fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,bed sex,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,spread eagle,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,reverse riding,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,couch fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,dicked down,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
