group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
POV,licking balls,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,on her knees,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cock sucker,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,begging creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie surprise,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,doggystyle creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,huge creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,dripping creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie accident,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum inside,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,riding creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cowgirl creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum inside me,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,missionary creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,deep creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,close up creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum filled pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pawg creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,impregnate,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,massive creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum in pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pulsating creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,crempie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,breeding creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,multiple creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum dripping pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum inside pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum and keep fucking,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal cowgirl,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,doggy anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal doggystyle,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cowgirl anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal riding,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum in ass,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,painal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,reverse cowgirl anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,doggystyle anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,standing anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal cum,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,first anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal first time,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,deep anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,creampie anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal creampie,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,surprise anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,assfuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big dick anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,hard ass fuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur ass to mouth,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,homemade anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,hard anal fuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,painful anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal gaping,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,hard anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,tight anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,anal,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,white skin,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,teenpoint of view,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov vertical,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov reverse cowgirl,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,perfect ass pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,doggy pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,vacation sex,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,first date,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,sex with stranger,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov cum,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,she finishes him off,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum onto tits,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum onto pussy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum tits,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,handjob pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov handjob,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on body,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big cumshot,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,huge facial,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov titfuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on panties,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,multiple cumshots,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,huge cumshot,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on boobs,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum play,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov titjob,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cumshot on ass,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on ass pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,double cumshot,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big load,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur cum on tits,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on stomach,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum facial,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cum on glasses,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur facial,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,massive cumshot,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,covered in cum,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,milf pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,milf pov blowjob,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,stepmom pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,mother,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,mom,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,sexy milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,friends mom,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,fit milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big tits mom,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,milf big tits,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big tit milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big tits milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big boobs milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,milf blowjob,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big titty fuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,busty milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cougar milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pawg milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,mom and stepson,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,russian mom,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,big tits pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,curvy milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,real milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,hot milf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
