group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled
femdom,femdom; femdom porn; femdom domination; femdom mistress; femdom milf; femdom slave; femdom fetish; femdom ass worship; femdom xxx; femdom pegging; femdom handjob; femdom cum,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
Blonde,blonde;blondes;sexy blonde; busty blonde; blondie;cute blonde;blonde babe,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
Demon,demon; demon porn; demon hentai; demon sex; demon xxx; demon milf; demon blowjob; demon creampie; demon gangbang; demon anime; demon compilation; demon tentacle,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
POV,pov; pov porn; pov sex; pov blowjob; pov creampie; pov anal; pov teen; pov amateur; deepthroat pov; pov cumshot; pov xxx; pov milf,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
Threesome,threesome; threesome porn; threesome sex; threesome xxx; threesome blowjob; mff threesome; mmf threesome; bisexual threesome; threesome with milf; threesome creampie; amateur threesome; big tits threesome,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
Office,office; office porn; office sex; sexy secretary; office milf; office blowjob; office creampie; office xxx; naughty office; boss and secretary; office anal; office fuck,,all,US;CA,,stepmom.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,TRUE
