lang_code,lang_name,geo,keywords,keyword_matches,ad_format,campaign_type,bid_type,gender,variants,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,enabled
es,Spanish,ES,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
de,German,DE,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
fr,French,FR,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
it,Italian,IT,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
pt,Portuguese,BR,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
nl,Dutch,NL,"milf;milfs;mature",broad,INSTREAM,Standard,CPA,male,"desktop,ios,android",50,200,10,2,250,TRUE
