group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
femdom,femdom cuckold,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,ass smothering,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,fart,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,femboy fucked,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,wife pegging husband,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,ruined orgasm,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,femdom milking,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
